SO43697,10769,80,3578,1,3578,2010-12-29,2011-01-05,2011-01-10
SO43698,17390,36,3400,1,3400,2010-12-29,2011-01-05,2011-01-10
SO43699,14864,36,3400,1,3400,2010-12-29,2011-01-05,2011-01-10
SO43700,3502,47,699,1,699,2010-12-29,2011-01-05,2011-01-10
SO43701,4,36,3400,1,3400,2010-12-29,2011-01-05,2011-01-10
SO43702,16646,76,3578,1,3578,2010-12-30,2011-01-06,2011-01-11
SO43703,5625,80,3578,1,3578,2010-12-30,2011-01-06,2011-01-11
SO43704,6,33,3375,1,3375,2010-12-30,2011-01-06,2011-01-11
SO43705,12,34,3400,1,3400,2010-12-30,2011-01-06,2011-01-11
SO43706,16622,77,3578,1,3578,2010-12-31,2011-01-07,2011-01-12
SO43707,16617,77,3578,1,3578,2010-12-31,2011-01-07,2011-01-12
SO43708,9043,50,699,1,699,2010-12-31,2011-01-07,2011-01-12
SO43709,5352,78,3578,1,3578,2010-12-31,2011-01-07,2011-01-12
SO43710,5518,79,3578,1,3578,2010-12-31,2011-01-07,2011-01-12
SO43711,16607,79,3578,1,3578,2011-01-01,2011-01-08,2011-01-13
SO43712,2514,76,3578,1,3578,2011-01-01,2011-01-08,2011-01-13
SO43713,16602,80,3578,1,3578,2011-01-02,2011-01-09,2011-01-14
SO43714,2592,76,3578,1,3578,2011-01-02,2011-01-09,2011-01-14
SO43715,5484,79,3578,1,3578,2011-01-02,2011-01-09,2011-01-14
SO43716,5530,76,3578,1,3578,2011-01-02,2011-01-09,2011-01-14
SO43717,14250,47,699,1,699,2011-01-02,2011-01-09,2011-01-14
SO43718,16669,76,3578,1,3578,2011-01-03,2011-01-10,2011-01-15
SO43719,16613,77,3578,1,3578,2011-01-03,2011-01-10,2011-01-15
SO43720,2265,76,3578,1,3578,2011-01-03,2011-01-10,2011-01-15
SO43721,2591,80,3578,1,3578,2011-01-03,2011-01-10,2011-01-15
SO43722,2582,77,3578,1,3578,2011-01-04,2011-01-11,2011-01-16
SO43723,3521,45,699,1,699,2011-01-04,2011-01-11,2011-01-16
SO43724,5521,76,3578,1,3578,2011-01-04,2011-01-11,2011-01-16
SO43725,2259,76,3578,1,3578,2011-01-05,2011-01-12,2011-01-17
SO43726,3561,45,699,1,699,2011-01-05,2011-01-12,2011-01-17
SO43727,5608,76,3578,1,3578,2011-01-05,2011-01-12,2011-01-17
SO43728,16667,78,3578,1,3578,2011-01-06,2011-01-13,2011-01-18
SO43729,239,36,3400,1,3400,2011-01-06,2011-01-13,2011-01-18
SO43730,14862,36,3400,1,3400,2011-01-06,2011-01-13,2011-01-18
SO43731,5630,79,3578,1,3578,2011-01-06,2011-01-13,2011-01-18
SO43732,26,32,3375,1,3375,2011-01-06,2011-01-13,2011-01-18
SO43733,16578,77,3578,1,3578,2011-01-06,2011-01-13,2011-01-18
SO43734,16605,77,3578,1,3578,2011-01-07,2011-01-14,2011-01-19
SO43735,5523,80,3578,1,3578,2011-01-07,2011-01-14,2011-01-19
SO43736,3,36,3400,1,3400,2011-01-07,2011-01-14,2011-01-19
SO43737,2262,76,3578,1,3578,2011-01-08,2011-01-15,2011-01-20
SO43738,607,77,3578,1,3578,2011-01-08,2011-01-15,2011-01-20
SO43739,2564,80,3578,1,3578,2011-01-08,2011-01-15,2011-01-20
SO43740,5528,77,3578,1,3578,2011-01-08,2011-01-15,2011-01-20
SO43741,16672,80,3578,1,3578,2011-01-09,2011-01-16,2011-01-21
SO43742,2577,79,3578,1,3578,2011-01-09,2011-01-16,2011-01-21
SO43743,8,37,3400,1,3400,2011-01-09,2011-01-16,2011-01-21
SO43744,5632,78,3578,1,3578,2011-01-09,2011-01-16,2011-01-21
SO43745,5515,76,3578,1,3578,2011-01-10,2011-01-17,2011-01-22
SO43746,5617,77,3578,1,3578,2011-01-10,2011-01-17,2011-01-22
SO43747,16624,79,3578,1,3578,2011-01-11,2011-01-18,2011-01-23
SO43748,16626,78,3578,1,3578,2011-01-11,2011-01-18,2011-01-23
SO43749,16637,79,3578,1,3578,2011-01-11,2011-01-18,2011-01-23
